topic,top_terms
0,"href, water, sanitation, news, newsfont, nigerias, defecation, color6f6f6fvanguard, vanguard, open, nation, nigeria"
1,"href, report, cholera, nigeria, situation, outbreak, 2024, floods, 18, external, published, newsfont"
2,"nigeria, href, 2024, bulletin, color6f6f6freliefwebfont, reliefweb, cholera, humanitarian, response, 2024anbspnbspfont, outbreaks, health"
3,"href, nigeria, open, defecation, water, news, post, nigerians, sanitation, nigeriafont, daily, clean"
4,"cholera, href, nigeria, outbreak, cases, deaths, state, nigeriafont, suspected, lagos, health, color6f6f6fpunch"
5,"href, 2024, nigeria, report, cholera, situation, monthly, water, nigeriafont, week, day, epi"
