cluster,size,top_terms,friendly_label
0,9,"sector bulletin, response health, humanitarian response, health sector, sector, nigeria humanitarian, response, humanitarian, bulletin, health, targetblanknortheast, href targetblanknortheast",Government Response & Policy
1,29,"cases, cholera cases, cholera, deaths, records, suspected, safe, ncdc, states, nigeria, suspected cholera, safe sanitation",Cholera Outbreak & Case Reporting
2,200,"nigeria, cholera, 2024, report, href, outbreak, sanitation, situation report, situation, nigerias, water, hygiene",Cholera Outbreak & Case Reporting
3,9,"niger, niger delta, delta, international, human rights, rights, fully, sale, pollution, shells, amnesty international, color6f6f6famnesty",Other/Uncategorized
4,178,"nigeria, cholera, open, href, defecation, open defecation, 2024, outbreak, lagos, water, news, newspapers",Sanitation & Waste Management
